Date,Pos,Player,Injury,NFL Status,Fantasy News
01/03/15,DE,Calais Campbell,HIP,PROBABLE,
01/03/15,G,Jonathan Cooper,"WRIST, KNEE",QUESTIONABLE,
01/03/15,LB,Larry Foote,KNEE,PROBABLE,
01/03/15,S,Tyrann Mathieu,"THUMB, HIP",PROBABLE,
01/03/15,DT,Frostee Rucker,ANKLE,PROBABLE,
01/03/15,C,Lyle Sendlein,BACK,PROBABLE,
01/03/15,QB,Drew Stanton,KNEE,OUT,Missed Wild Card game at Carolina
01/03/15,NT,Dan Williams,FOOT,QUESTIONABLE,
12/28/14,LB,Lorenzo Alexander,KNEE,PROBABLE,
12/28/14,WR,Jaron Brown,FOOT,PROBABLE,
12/28/14,S,Deone Bucannon,KNEE,QUESTIONABLE,
12/28/14,TE,John Carlson,CALF,QUESTIONABLE,
12/28/14,WR,Larry Fitzgerald,KNEE,PROBABLE,
12/28/14,S,Rashad Johnson,ANKLE,PROBABLE,
12/28/14,C,Ted Larsen,SHOULDER,PROBABLE,
12/28/14,LB,Matt Shaughnessy,SHOULDER,PROBABLE,
12/21/14,S,Chris Clemons,KNEE,PROBABLE,
12/21/14,G,Paul Fanaika,ANKLE,PROBABLE,
12/21/14,T,Jared Veldheer,ANKLE,PROBABLE,
12/21/14,RB,Kerwynn Williams,KNEE,PROBABLE,
12/11/14,CB,Antonio Cromartie,ANKLE,QUESTIONABLE,
12/07/14,LB,Kenny Demens,HAMSTRING,PROBABLE,
11/30/14,LB,Marcus Benard,SHOULDER,PROBABLE,
11/30/14,WR,John Brown,TEETH,PROBABLE,
11/23/14,LB,Sam Acho,NECK,PROBABLE,
11/23/14,RB,Robert Hughes,HAMSTRING,PROBABLE,
11/16/14,LB,Desmond Bishop,HAMSTRING,QUESTIONABLE,
11/16/14,RB,Stepfan Taylor,CALF,PROBABLE,
11/09/14,T,Bobby Massie,"ANKLE, KNEE",PROBABLE,
11/02/14,WR,Michael Floyd,KNEE,PROBABLE,
11/02/14,S,Tony Jefferson,CONCUSSION,QUESTIONABLE,
11/02/14,CB,Patrick Peterson,CONCUSSION,PROBABLE,
10/19/14,LB,Glenn Carson,ANKLE,QUESTIONABLE,
10/19/14,LB,Alex Okafor,QUADRICEPS,PROBABLE,
10/19/14,DT,Alameda Ta'amu,ILLNESS,QUESTIONABLE,
10/12/14,CB,Justin Bethel,SHOULDER,PROBABLE,
10/07/14,P,Dave Zastudil,LEFT GROIN,&nbsp;,
10/05/14,TE,Rob Housler,HIP,PROBABLE,
09/21/14,LB,Kevin Minter,QUADRICEPS,PROBABLE,
09/18/14,RB,Jonathan Dwyer,&nbsp;,NFI,NFI. Out indefinitely
05/30/14,LB,Daryl Washington,Suspension,SUSPEND,Eligible for reinstatement before 2015 season
Date,Pos,Player,Injury,NFL Status,Fantasy News
12/28/14,G,Jon Asamoah,BACK,QUESTIONABLE,
12/28/14,RB,Steven Jackson,QUADRICEPS,QUESTIONABLE,Missed Week 17 vs. Carolina
12/28/14,WR,Julio Jones,HIP,QUESTIONABLE,
12/28/14,DB,Dwight Lowery,Knee,LEFT,Left Week 17 vs. Carolina
12/28/14,CB,Robert McClain,ILLNESS,QUESTIONABLE,
12/28/14,CB,Josh Wilson,HAMSTRING,QUESTIONABLE,
12/21/14,WR,Harry Douglas,FOOT,PROBABLE,
12/21/14,WR,Roddy White,KNEE,PROBABLE,
12/14/14,G,Justin Blalock,BACK,PROBABLE,
12/14/14,RB,Patrick DiMarco,ILLNESS,QUESTIONABLE,
12/14/14,DE,Stansly Maponga,"ELBOW, NOT INJURY RELATED",PROBABLE,
12/14/14,DT,Paul Soliai,SHOULDER,PROBABLE,
11/30/14,T,Jonathan Scott,HAMSTRING,PROBABLE,
11/23/14,DT,Jonathan Babineaux,KNEE,PROBABLE,
11/23/14,WR,Drew Davis,FOOT,PROBABLE,
11/23/14,WR,Devin Hester,WRIST,PROBABLE,
